"City","State","Locations","Packages","Internets","TVs"
"Madison","Wisconsin","[12279636,12903800]","[15905922]","[12700962]","[13997600]"
"Southern Pines","North Carolina","[1747682]","[15898778]","[12704968]","[13990839]"
"Corona","California","[1457144]","[15897058]","[12703765]","[13992397]"
"Troy","Ohio","[14443945]","[15903961]","[12701153]","[13998723]"
"Warren","Ohio","[1747697]","[15903341]","[12698585]","[13993852]"
"Elyria","Ohio","[1747716]","[15901009]","[12699361]","[14000713]"
"Columbus","Ohio","[1457141,1747529,11894545,12213262,13187633,13323477]","[15905988]","[12702424]","[13999857]"
"Brea","California","[11557606]","[15903785]","[12701012]","[13990895]"
"Summerville","South Carolina","[14515700]","[15900475]","[12701816]","[13999352]"
"Ellensburg","Washington","[5825959]","[15906785]","[12703687]","[13991137]"
"Oswego","New York","[1457244]","[15903086]","[12701298]","[13993336]"
"North Myrtle Beach","South Carolina","[14848419]","[15900900]","[12699811]","[13995922]"
"Cortland","New York","[1747630]","[15906455]","[12701020]","[13998168]"
"Hemet","California","[12669924]","[15901145]","[12702692]","[13996065]"
"Glendale","New York","[14702688]","[]","[]","[]"
"Franklin","Pennsylvania","[1457171]","[15903326]","[12700276]","[13992851]"
"Lexington","Kentucky","[1747643,12635346]","[15906871]","[12699626]","[13997374]"
"South Lake Tahoe","California","[15091751]","[15903873]","[12700823]","[13994679]"
"Sanford","Florida","[11775279]","[15898032]","[12702144]","[13991244]"
"Milwaukee","Wisconsin","[1747672,13539703]","[15897684]","[12701287]","[13998250]"
"Eufaula","Alabama","[5825994]","[15906615]","[12699691]","[13994363]"
"New Albany","Indiana","[1747594]","[15902364]","[12701631]","[13994006]"
"New Port Richey","Florida","[14512910]","[15904917]","[12701789]","[13996338]"
"Collinsville","Illinois","[5978957]","[15898526]","[12704169]","[13990915]"
"San Bernardino","California","[5825909,15058791]","[15906150]","[12701396]","[13995731]"
"Wilmington","North Carolina","[1457290]","[15904741]","[12703240]","[14000234]"
"Ithaca","New York","[12795504]","[15901819]","[12700208]","[13992649]"
"Lima","Ohio","[1457219]","[15904944]","[12699376]","[13997589]"
"Jamaica","New York","[11200816]","[15904114]","[12702525]","[13994593]"
"Fond Du Lac","Wisconsin","[5826018]","[15900436]","[12703359]","[13997759]"
"Casper","Wyoming","[13014993]","[15904940]","[12703173]","[13997522]"
"Chesterfield","Missouri","[5826152]","[15897842]","[12701339]","[13994115]"
"Portsmouth","Ohio","[1747559]","[15906352]","[12705049]","[13993346]"
"Richmond","Kentucky","[12213391]","[15900184]","[12700653]","[13997205]"
"Owensboro","Kentucky","[1747524]","[15904235]","[12699060]","[13999310]"
"Altoona","Wisconsin","[5825973]","[15901921]","[12704659]","[13997272]"
"Myrtle Beach","South Carolina","[15676948]","[15905582]","[12699638]","[13992905]"
"Chincoteague","Virginia","[5826166]","[15899595]","[13141743]","[13994117]"
"Newburgh","New York","[1457238]","[15906340]","[12701713]","[13992685]"
"Pullman","Washington","[1457253]","[15900511]","[12702058]","[14000595]"
"Kannapolis","North Carolina","[12143397]","[15898305]","[12704938]","[13992449]"
"Saginaw","Michigan","[5826150]","[15905132]","[12699153]","[13995296]"
"McKenzie","Tennessee","[5826056]","[]","[]","[]"
"Janesville","Wisconsin","[5825989]","[15898604]","[12698793]","[13994181]"
"Walla Walla","Washington","[5825965]","[15903573]","[12703401]","[13992338]"
"Medford","Oregon","[5826185]","[15900306]","[12699051]","[13992258]"
"Asheville","North Carolina","[5826199]","[15903248]","[12703327]","[14000252]"
"Chino","California","[14922635]","[15899072]","[12698526]","[13992815]"
"North Adams","Massachusetts","[1747631]","[15904490]","[12700970]","[13999957]"
"Eagle Pass","Texas","[1747729]","[15897981]","[12701027]","[13999874]"
"Lagrange","Georgia","[5825980]","[15900849]","[12701612]","[13993753]"
"Victorville","California","[12795627]","[15901400]","[12700992]","[13996183]"
"Lancaster","Ohio","[1747565]","[15900943]","[12702527]","[13997585]"
"Kalamazoo","Michigan","[14444018]","[15901479]","[12700622]","[13999479]"
"Fitchburg","Wisconsin","[5826077]","[]","[]","[]"
"Sterling","Colorado","[5825940]","[15900353]","[12703312]","[13994470]"
"Santa Clarita","California","[1747649]","[15899292]","[12698661]","[13991039]"
"Riverside","California","[5826102]","[15906620]","[12699403]","[13994451]"
"Glendale","California","[14993388]","[15900284]","[12700941]","[13990943]"
"Duluth","Georgia","[5825918]","[15897959]","[12702846]","[13998807]"
"Mount Pleasant","Michigan","[5826036]","[15899777]","[12704037]","[13990790]"
"Greensboro","North Carolina","[1747602]","[15906714]","[12701106]","[13998833]"
"Morehead City","North Carolina","[15016503]","[15905558]","[12701627]","[13991841]"
"Marion","North Carolina","[5825933]","[15901362]","[12699972]","[13994407]"
"Escanaba","Michigan","[5826114]","[15903340]","[12702184]","[13993715]"
"Rice Lake","Wisconsin","[5826052]","[15898445]","[12704715]","[13998489]"
"Wilson","North Carolina","[1457291]","[15897377]","[12699336]","[13995141]"
"Ormond Beach","Florida","[13347608]","[15906619]","[12699145]","[13994433]"
"Tarpon Springs","Florida","[5826118]","[15898930]","[12698749]","[13997236]"
"Leavenworth","Kansas","[1747711]","[15901638]","[12701369]","[13995885]"
"Plymouth","New Hampshire","[3872756]","[15900509]","[12704637]","[14000592]"
"Webster","New York","[1457286]","[15898136]","[12699666]","[13996192]"
"Keene","New Hampshire","[1747535]","[15900805]","[12704857]","[13991812]"
"Yakima","Washington","[5825943]","[15905622]","[12699254]","[13994931]"
"Laurinburg","North Carolina","[1457215]","[15905708]","[12699714]","[13998436]"
"Sault Ste. Marie","Michigan","[5826069]","[]","[]","[]"
"Wenatchee","Washington","[13347633]","[15898094]","[12701246]","[13994487]"
"Dayton","Ohio","[1457216,1747652]","[15902254]","[12703842]","[14000496]"
"Palm Desert","California","[1747699]","[15898759]","[12703298]","[14001182]"
"Euless","Texas","[11330367]","[15901923]","[12701355]","[13997329]"
"Ellenville","New York","[1457158]","[15906907]","[12703930]","[14000712]"
"Cape Girardeau","Missouri","[5826160]","[15905055]","[12702919]","[13991750]"
